id,comment,clean_comment,Label
1,comedy guy... then what the hell you did when you screw BJP with only one number,comedy guy hell screw bjp one number,0
2,.. I find both of them as too over rated ., find rated ,0
3,Have they actually received it...looks like these are all announcements...,actually received it looks like announcements ,0
4,"very very true....it's ""Business""...but it should be not at cost of ""person's personal""...i suppose...",true it business but cost person personal i suppose ,0
5,"Net banking and debit card are no more safe , Chinese hackers are trying to destroy Indian baking system , Indian ministerial cabinet has banned cell phones in the cabinet meeting in the fear of information being leaking , china is hacking all most every computer and phones , especially Chinese phones are most susceptible , foolish Indians have given Chinese companies entry to the telecom sector some of them are known spy companies , now to please Pakistan junta they are going all out to disrupt Indian economy , I am surprised that Indians do no even know that Chinese hackers were operating from Medan just 100 km from Indian shore located in Indonesia , if this is called BJp government cyber security management is it not a practical joke ?",net banking debit card safe chinese hackers trying destroy indian baking system indian ministerial cabinet banned cell phones cabinet meeting fear information leaking china hacking every computer phones especially chinese phones susceptible foolish indians given chinese companies entry telecom sector known spy companies please pakistan junta going disrupt indian economy surprised indians even know chinese hackers operating medan km indian shore located indonesia called bjp government cyber security management practical joke ,0
6,Agree to nitin narang .....please punish bankers qho have supported pilingup new currency notes,agree nitin narang please punish bankers qho supported pilingup new currency notes,1
7,"All on a sudden, USA , Turaska are showing interest to mediate Kashmir issue and India negating , so, slowly world politics are getting concern about Kashmir, while Pakistan is welcoming the move , India sticks to bilateral resolve of the issue . Attacks on Uri and Pathankot are the biggest failure of India, which is really a great concern and observed that after those two incidents have made other country very much enthusiastic over Kashmir issue. Naturally from strategic point of view India has to reassess the internal security aspect before entering to all out conflict . It is also observed, that ex generals have concede the intelligence failure in respect of Uri and Pathankot incidents . It is also to be asserted that , how far this type of failure is rooted? This is very much embarrassing situation.",sudden usa turaska showing interest mediate kashmir issue india negating so slowly world politics getting concern kashmir pakistan welcoming move india sticks bilateral resolve issue attacks uri pathankot biggest failure india really great concern observed two incidents made country much enthusiastic kashmir issue naturally strategic point view india reassess internal security aspect entering conflict also observed ex generals concede intelligence failure respect uri pathankot incidents also asserted far type failure rooted much embarrassing situation ,1
8,Ms Mira says it is her choice to stay at home and she will do it.Tomm if shahid decides that even he wants to stay at home and be a home maker husband and take care of Misha then how to decide who will be the bread earner???......and what to give her a celebrity status and ask her views?..what is.her achievement till date?...her only master stroke in life is to find a high earning husband.....,ms mira says choice stay home it tomm shahid decides even wants stay home home maker husband take care misha decide bread earner and give celebrity status ask views what is her achievement till date her master stroke life find high earning husband ,1
9,Cow is not more important than a human life. I think democracy is for the people not for animals.,cow important human life think democracy people animals ,1
10,"Plz give govt Retired pensioner s....income tax cutting in pension..,. because they r living few years so kindly",plz give govt retired pensioner s income tax cutting pension r living years kindly,0
11,Sanghi dose mila hai Annaji ko fir se kyunki Delhi me jo MCD election hai filhal.. Ab sab ko samajh gaye hai Lokpal aur corruption crusader kitne paani me hai aur kis k saath hai.,sanghi dose mila hai annaji ko fir se kyunki delhi jo mcd election hai filhal ab sab ko samajh gaye hai lokpal aur corruption crusader kitne paani hai aur kis k saath hai ,1
12,Dear PM sir 49 CRPF jawan shaheed in month of April only due to lack of intelligence and state government support.˜˜ 300k CRPF force without any DG from last 2 months.˜₪˜₪ Who will take the responsibility˜¡˜¡˜¡˜¡˜¡,dear pm sir crpf jawan shaheed month april due lack intelligence state government support crpf force without dg last months take responsibility,1
13,seems to be a women crying for the RIP 400CC??,seems women crying rip ,1
14,Solders r martyring rath will stop in 2019,solders r martyring rath stop ,0
15,About deaths.... we sacrificed crores people for freedom. This is biggest revolution after freedomfight. We need sacrifice to defeate biggest cancerof society,deaths sacrificed crores people freedom biggest revolution freedomfight need sacrifice defeate biggest cancerof society,1
16,I think india should start by stomping foot on news channels like u,think india start stomping foot news channels like u,0
17,Modi ji's elevation too was so ominous that some sickulars and antidemocratic individuals declared that they would leave the country if he becomes PM! Same black forces are now chanting the same mantras oblivious of the fact that this is 21st century and people can differentiate between chalk and cheese!,modi ji elevation ominous sickulars antidemocratic individuals declared would leave country becomes pm black forces chanting mantras oblivious fact century people differentiate chalk cheese ,1
18,hahahahahahhahahaha india is trying to entertain there stupid idiot nation,hahahahahahhahahaha india trying entertain stupid idiot nation,1
19,Every single politician has been saying that for the past 69 years. So only time would tell if 2022 is gonna be any different.,every single politician saying past years time would tell gonna different ,1
20,Election commr stooge who needs his high paid and cushy job,election commr stooge needs high paid cushy job,1
21,Just do 3 things Sir.... pass Janlokpal... 2) declare donolations to your party....3) jail who are guilty of corruption!!!, things sir pass janlokpal declare donolations party jail guilty corruption ,1
22,Time for retirement or shift Pakistan to develop communist cadres there !!!,time retirement shift pakistan develop communist cadres ,0
23,Yeah I'll take a venti caramel IED and a grande vanilla bean shoe bomb,yeah i take venti caramel ied grande vanilla bean shoe bomb,0
24,Right,right,0
25,‘„ Bot˜ƒ Powered’ By“ Prince“ Fadii ¨ Just Now Done ˜½ India TV ¥ c h ־± ֿ… ־´ h r ֿˆ s ¹ ־² ־¿ ֿ„ ֿ„ ־µ r ¥  Saturday : 29 - April - 2017 ¨ Like Back¥ India TV ¥ Comment Late 52 detik :) × Auto Comment By Prince Fadii ¯ ” Baby-Bot.tk ’¡, bot powered by prince fadii done india tv c h h r r saturday april like back india tv comment late detik auto comment prince fadii baby bot tk ,0
26,Fake i can't belive,fake can belive,1
27,"That time when u used ""militant"" word against A Hath Yogi ..u r exposed mr writer.. the bloody prejudice mind of yours has been littering from many years against The Great Indian Culture.",time u used militant word hath yogi u r exposed mr writer bloody prejudice mind littering many years great indian culture ,1
28,Wow. He held such a high position in international organisations.... I thought education makes a person better.,wow held high position international organisations thought education makes person better ,0
29,I would like to invest 50k plz suggest....is it rt time,would like invest plz suggest is rt time,0
